,T_PV,I,T_mt,Do_am
130260,24.94,0,28.9,78.1
130320,24.94,0,28.9,78.4
130380,25,0,28.9,78.2
130440,25,0,28.9,78.5
130500,25,0,28.9,78.5
130560,25,0,28.9,78.8
130620,25.06,0,28.9,78.5
130680,25.06,0,28.9,78.8
130740,25.06,0,28.9,78.8
130800,25.06,0,28.9,78.6
130860,25.12,0,28.9,77.6
130920,25.12,0,28.9,77.9
130980,25.06,0,28.9,78
131040,25.12,0,28.9,77.8
131100,25.06,0,28.9,77.9
131160,25.12,0,28.9,77.9
131220,25.06,0,28.9,78.2
131280,25.06,0,28.9,78.4
131340,25,0,28.9,78.7
131400,25.06,0,28.9,78.1
131460,25.06,0,28.9,78.5
131520,25.06,0,28.9,78.5
131580,25.06,0,28.9,78
131640,25,0,28.9,78.1
131700,25.06,0,28.9,78.5
131760,25.06,0,28.9,78
131820,25,0,28.9,78.2
131880,25,0,28.9,78.5
131940,25,0,28.9,78.2
132000,25,0,28.9,78.2
132060,25.06,0,28.9,78.3
132120,25.06,0,28.9,78.3
132180,25,0,28.9,78.5
132240,24.94,0,28.9,78.2
132300,24.94,0,28.9,78.3
132360,24.94,0,28.9,78.4
132420,24.87,0,28.8,77.9
132480,24.94,0,28.8,77.8
132540,24.94,0,28.8,78.1
132600,24.94,0,28.8,78.1
132660,24.94,0,28.8,78.4
132720,24.94,0,28.8,78.9
132780,24.87,0,28.8,78.5
132840,24.87,0,28.8,78.7
132900,24.87,0,28.8,79
132960,24.87,0,28.8,79.3
133020,24.87,0,28.8,78.6
133080,24.87,0,28.8,79.1
133140,24.87,0,28.8,79.2
133200,24.87,0,28.8,78.4
133260,24.87,0,28.8,79.3
133320,24.87,0,28.8,78.8
133380,24.81,0,28.7,78.4
133440,24.81,0,28.7,79.2
133500,24.81,0,28.7,79.1
133560,24.81,0,28.7,79.5
133620,24.81,0,28.7,78.5
133680,24.81,0,28.7,78.9
133740,24.75,0,28.7,78.9
133800,24.75,0,28.6,78.7
133860,24.69,0,28.6,79
133920,24.62,0,28.6,79.1
133980,24.56,0,28.6,79.1
134040,24.56,0,28.6,79.1
134100,24.44,0,28.5,79.5
134160,24.5,0,28.5,80.3
134220,24.5,0,28.5,80
134280,24.5,0,28.5,79.1
134340,24.5,0,28.5,79.4
134400,24.5,0,28.4,80.1
134460,24.5,0,28.5,79.8
134520,24.5,0,28.5,80
134580,24.5,0,28.4,79.9
134640,24.44,0,28.4,79.7
134700,24.44,0,28.5,80.3
134760,24.5,0,28.4,79.9
134820,24.44,0,28.4,79.2
134880,24.5,0,28.4,79.4
134940,24.5,0,28.4,79.7
135000,24.56,0,28.5,79.5
135060,24.56,0,28.5,79.6
135120,24.62,0,28.5,79.6
135180,24.62,0,28.5,79.8
135240,24.62,0,28.5,79.9
135300,24.62,0,28.5,79.7
135360,24.69,0,28.5,79.4
135420,24.69,0,28.5,79.5
135480,24.69,0,28.5,79.7
135540,24.75,0,28.5,79.6
135600,24.75,0,28.6,79.2
135660,24.81,0,28.6,79.1
135720,24.81,0,28.6,79
135780,24.81,0,28.6,78.7
135840,24.81,0,28.6,78.8
135900,24.87,0,28.6,79.2
135960,24.87,0,28.6,78.4
136020,24.87,0,28.6,78.9
136080,24.87,0,28.6,78.9
136140,24.94,0,28.7,78.9
136200,24.94,0,28.7,78.8
136260,25,0,28.7,78.8
136320,25,0,28.7,78.2
136380,25,0,28.7,78.2
136440,25,0,28.8,78.3
136500,25,0,28.7,78.3
136560,25.06,0,28.7,78
136620,25.06,0,28.8,78.2
136680,25.12,0,28.8,78.1
136740,25.12,0,28.8,78.2
136800,25.12,0,28.8,77.7
136860,25.12,0,28.8,78.1
136920,25.12,0,28.8,77.8
136980,25.12,0,28.8,77.3
137040,25.12,0,28.8,77.8
137100,25.12,0,28.9,77.2
137160,25.12,0,28.8,77.1
137220,25.12,0,28.8,77.3
137280,25.12,0,28.9,77.4
137340,25.12,0,28.9,77.5
137400,25.19,0,28.9,77.5
137460,25.19,0,28.9,77.4
137520,25.19,0,28.9,77.5
137580,25.12,0,28.9,77
137640,25.12,0,28.9,77.3
137700,25.19,0,28.9,77.3
137760,25.19,0,28.9,77.3
137820,25.19,0,28.9,77.4
137880,25.19,0,28.9,77.3
137940,25.25,0,28.9,77.3
138000,25.25,0,28.9,77.3
138060,25.25,0,28.9,76.8
138120,25.19,0,28.9,76.5
138180,25.25,0,28.9,76.8
138240,25.25,0,29,76.9
138300,25.25,0,29,76.9
138360,25.25,0,29,76.8
138420,25.25,0,29,76.7
138480,25.25,0,29,76.6
138540,25.25,0,29,76.6
138600,25.25,0,29,76.5
138660,25.25,0,29,76.5
138720,25.25,0,29,76.6
138780,25.25,0,29,76.3
138840,25.25,0,29,76.7
138900,25.25,0,29,76.7
138960,25.25,0,29,76.5
139020,25.25,0,29,76.4
139080,25.25,0,29,76.7
139140,25.31,0,29,76.3
139200,25.25,0,29,76.2
139260,25.25,0,29,76.6
139320,25.25,0,29,76.5
139380,25.25,0,29,76.4
139440,25.25,0,29,76.5
139500,25.25,0,29,76.4
139560,25.25,0,29,76.4
139620,25.25,0,29,76.3
139680,25.25,0,29,76.2
139740,25.25,0,29,76.1
139800,25.25,0,29,76.3
139860,25.25,0,29,76.1
139920,25.25,0,29,76.3
139980,25.19,0,29,75.9
140040,25.25,0,29,76.1
140100,25.25,0,29,75.9
140160,25.25,0,29,75.9
140220,25.25,0,29,75.6
140280,25.25,0,29,75.6
140340,25.25,0,29,75.6
140400,25.25,0,29,75.5
140460,25.25,0,29,75.4
140520,25.25,0,29,75
140580,25.25,0,29,75.2
140640,25.25,0,29,75.2
140700,25.19,0,29,75.1
140760,25.19,0,29,75
140820,25.19,0,29,75
140880,25.19,0,29,74.7
140940,25.19,0,28.9,74.9
141000,25.12,0,28.9,75.2
141060,25.19,0,28.9,74.9
141120,25.19,0,29,74.8
141180,25.19,0,29,75
141240,25.19,0,28.9,74.8
141300,25.12,0,28.9,75
141360,25.19,0,28.9,74.8
141420,25.12,0,28.9,74.9
141480,25.12,0,28.9,75
141540,25.19,0,28.9,74.9
141600,25.19,0,28.9,74.8
141660,25.19,0,28.9,74.9
141720,25.12,0,28.9,75
141780,25.19,0,28.9,74.9
141840,25.19,0,29,74.7
141900,25.19,0,29,74.5
141960,25.19,0,28.9,74.7
142020,25.19,0,29,74.7
142080,25.25,0,29,74.7
142140,25.19,0,29,74.5
142200,25.19,0,29,74.5
142260,25.19,0,28.9,74.4
142320,25.19,0,29,74.7
142380,25.19,0,28.9,74.5
142440,25.25,0,29,74.4
142500,25.19,0,29,74.1
142560,25.19,0,28.9,74.2
142620,25.19,0,28.9,74.2
142680,25.19,0,28.9,74.1
142740,25.19,0,28.9,74.1
142800,25.19,0,28.9,74.3
142860,25.19,0,28.9,74.1
142920,25.19,0,28.9,74.2
142980,25.19,0,28.9,74
143040,25.19,0,28.9,74
143100,25.12,0,28.9,74.1
143160,25.12,0,28.9,74.3
143220,25.12,0,28.9,74.3
143280,25.19,0,28.9,74
143340,25.19,0,28.9,73.9
143400,25.19,0,28.9,74.1
143460,25.19,0,28.9,73.9
143520,25.19,0,28.8,73.9
143580,25.12,0,28.9,73.9
143640,25.12,0,28.9,74
143700,25.12,0,28.9,73.8
143760,25.12,0,28.9,73.7
143820,25.12,0,28.9,73.7
143880,25.12,0,28.9,73.7
143940,25.19,0,28.9,73.6
144000,25.19,0,28.9,73.5
144060,25.19,0,28.9,73.6
144120,25.19,0,28.9,73.7
144180,25.19,0,28.9,73.7
144240,25.19,0,28.9,73.8
144300,25.19,0,28.9,73.7
144360,25.19,0,29,73.4
144420,25.19,0,29,73.4
144480,25.19,0,29,73.3
144540,25.25,0,29,73.3
144600,25.25,0,29,73.2
144660,25.19,0,29,73.1
144720,25.19,0,29,73
144780,25.19,0,28.9,72.9
144840,25.19,0,28.9,73
144900,25.19,0,29,72.8
144960,25.19,0,29,72.9
145020,25.25,0,29,72.9
145080,25.19,0,29,72.8
145140,25.25,0,29,72.7
145200,25.25,0,29,72.7
145260,25.25,0,29,72.6
145320,25.25,0,29,72.6
145380,25.25,0,29,72.6
145440,25.25,0,29,72.5
145500,25.25,0,29,72.6
145560,25.19,0,29,72.6
145620,25.25,0,29,72.5
145680,25.25,0,29,72.5
145740,25.25,0,29,72.5
145800,25.25,0,29,72.4
145860,25.25,0,29,72.3
145920,25.25,0,29,72.3
145980,25.25,0,29,72.2
146040,25.25,0,29,72.2
146100,25.25,0,29,72.1
146160,25.25,0,29,72.2
146220,25.31,0,29,72.1
146280,25.25,0,29,72
146340,25.31,0,29,72
146400,25.31,0,29,71.9
146460,25.31,0,29,71.9
146520,25.31,0,29,71.9
146580,25.31,0,29,71.8
146640,25.25,0,29,71.9
146700,25.25,0,29,71.9
146760,25.25,0,29,71.9
146820,25.31,0,29,71.8
146880,25.25,0,29,71.8
146940,25.31,0,29,71.9
147000,25.25,0,29,71.9
147060,25.31,0,29,71.9
147120,25.31,0,29,71.7
147180,25.25,0,29,72.2
147240,25.25,0,29,71.9
147300,25.25,0,29,71.9
147360,25.25,0,29,72.1
147420,25.25,0,29,72.2
147480,25.19,0,29,72.2
147540,25.19,0,28.9,72.1
147600,25.19,0,29,72.1
147660,25.19,0,28.9,72.1
147720,25.19,0,28.9,72.2
147780,25.19,0,28.9,72.2
147840,25.19,0,28.9,72.1
147900,25.12,0,28.8,72.4
147960,25.06,0,28.8,72.5
148020,25.06,0,28.8,72.5
148080,25.12,0,28.9,72.4
148140,25.06,0,28.9,72.4
148200,25.12,0,28.9,72.4
148260,25.12,0,28.9,72.4
148320,25.12,0,28.9,72.3
148380,25.06,0,28.9,72.3
148440,25.06,0,28.9,72.3
148500,25.12,0,28.9,72.4
148560,25.12,0,28.9,72.3
148620,25.12,0,28.9,72.3
148680,25.12,0,28.9,72.2
148740,25.12,0,28.9,72.1
148800,25.12,0,28.9,72.1
148860,25.12,0,28.9,72.1
148920,25.12,0,28.9,72.2
148980,25.06,0,28.9,72.2
149040,25.06,0,28.8,72.2
149100,25.12,0,28.9,72.1
149160,25.12,0,28.9,72.1
149220,25.12,0,28.9,72
149280,25.12,0,28.9,71.8
149340,25.06,0,28.8,71.8
149400,25.06,0,28.9,72
149460,25.06,0,28.9,72
149520,25.12,0,28.9,72.1
149580,25.12,0,28.9,71.9
149640,25.06,0,28.9,71.8
149700,25.06,0,28.8,71.9
149760,25.06,0,28.9,71.9
149820,25.06,0,28.9,72
149880,25.06,0,28.9,72
149940,25.12,0,28.9,71.9
150000,25.12,0,28.9,71.8
150060,25.12,0,28.9,71.8
150120,25.12,0,28.9,71.7
150180,25.12,0,28.9,71.7
150240,25.12,0,28.9,71.6
150300,25.12,0,28.9,71.7
150360,25.12,0,28.9,71.7
150420,25.12,0,28.9,71.7
150480,25.12,0,28.9,71.8
150540,25.12,0,28.9,71.7
150600,25.19,0,28.9,71.5
150660,25.12,0,28.9,71.5
150720,25.06,0,28.9,71.6
150780,25.06,0,28.9,71.6
150840,25.12,0,28.9,71.5
150900,25.06,0,28.9,71.6
150960,25.06,0,28.9,71.5
151020,25.06,0,28.9,71.5
151080,25.06,0,28.9,71.4
151140,25.12,0,28.8,71.4
151200,25.06,0,28.9,71.4
151260,25.06,0,28.8,71.3
151320,25,0,28.9,71.5
151380,25,0,28.8,71.7
151440,25,0,28.8,71.6
151500,25,0,28.8,71.5
151560,25,0,28.8,71.6
151620,25,0,28.8,71.4
151680,25.06,0,28.8,71.5
151740,25.06,0,28.8,71.6
151800,25,0,28.8,71.6
151860,25,0,28.8,71.5
151920,25,0,28.8,71.6
151980,25,0,28.8,71.6
152040,25,0,28.8,71.7
152100,25,0,28.8,71.7
152160,25,0,28.8,71.6
152220,25,0,28.8,71.6
152280,25,0,28.8,71.5
152340,25.06,0,28.8,71.5
152400,25,0,28.8,71.4
152460,25.06,0,28.8,71.5
152520,25.06,0,28.8,71.6
152580,25.06,0,28.8,71.6
152640,25.06,0,28.8,71.4
152700,25,0,28.8,71.4
152760,25,0,28.8,71.5
152820,25,0,28.8,71.6
152880,25.06,0,28.8,71.7
152940,25,0,28.8,71.7
153000,25.06,0,28.8,71.7
153060,25,0,28.8,71.5
153120,25,0,28.8,71.4
153180,25,0,28.8,71.4
153240,25,0,28.8,71.4
153300,25.06,0,28.8,71.4
153360,25.06,0,28.8,71.3
153420,25,0,28.8,71.4
153480,25,0,28.8,71.4
153540,25,0,28.8,71.4
153600,25,0,28.8,71.3
153660,25,0,28.8,71.3
153720,25,0,28.8,71.4
153780,25,0,28.8,71.4
153840,25,0,28.8,71.4
153900,25.06,0,28.8,71.4
153960,25.06,0,28.8,71.3
154020,25.06,0,28.8,71.3
154080,25,0,28.8,71.3
154140,25.06,0,28.8,71.2
154200,25.06,0,28.8,71.3
154260,25.06,0,28.8,71.4
154320,25.06,0,28.8,71.4
154380,25.06,0,28.8,71.4
154440,25.06,0,28.8,71.4
154500,25.06,0,28.8,71.3
154560,25.06,0,28.8,71.4
154620,25.06,0,28.8,71.3
154680,25.12,0,28.8,71.2
154740,25.06,0,28.8,71.1
154800,25.06,0,28.8,71.2
154860,25.06,0,28.8,71.3
154920,25.06,0,28.8,71.4
154980,25.12,0,28.9,71.3
155040,25.12,0,28.9,71.3
155100,25.12,0,28.9,71.2
155160,25.12,0,28.9,71.3
155220,25.12,0,28.8,71.2
155280,25.12,0,28.9,71.2
155340,25.12,0,28.9,71.1
155400,25.12,0,28.9,71.1
155460,25.12,0,28.9,71.2
155520,25.12,0,28.8,71.2
155580,25.12,0,28.9,71.2
155640,25.12,0,28.9,71.2
155700,25.12,0,28.9,71.2
155760,25.12,0,28.9,71.1
155820,25.12,0,28.9,71.2
155880,25.12,0,28.9,71.1
155940,25.12,0,28.9,71.1
156000,25.12,0,28.9,71
156060,25.12,0,28.9,71.1
156120,25.06,0,28.9,71.2
156180,25.12,0,28.9,71.1
156240,25.12,0,28.9,71
156300,25.12,0,28.9,71
156360,25.12,0,28.9,71
156420,25.12,0,28.9,71.1
156480,25.12,0,28.9,71.1
156540,25.12,0,28.9,71
156600,25.12,0,28.9,71
156660,25.19,0,28.9,71
156720,25.12,0,28.9,71
156780,25.12,0,28.9,71
156840,25.12,0,28.9,70.9
156900,25.12,0.83,28.8,71.1
156960,25.06,0.83,28.8,71.1
157020,25.12,0.83,28.9,70.9
157080,25.12,1.67,28.9,71
157140,25.06,2.5,28.8,71.1
157200,25.06,3.33,28.8,70.9
157260,25,4.17,28.8,70.9
157320,25.06,5,28.8,71
157380,25.06,5.83,28.8,71
157440,25.06,7.5,28.8,71
157500,25.06,9.17,28.8,71
157560,25.06,11.67,28.8,71
157620,25.06,13.33,28.8,71
157680,25.06,15.83,28.8,71
157740,25.06,20,28.8,71.1
157800,25.06,24.17,28.8,71
157860,25.06,30,28.8,71
157920,25.06,35.83,28.8,71
157980,25.12,41.67,28.8,70.9
158040,25.06,49.17,28.8,71
158100,25.12,56.67,28.8,71
158160,25.12,65.83,28.8,71
158220,25.12,75,28.8,70.9
158280,25.06,84.17,28.8,70.8
158340,25.06,92.5,28.8,70.9
158400,25.06,100.83,28.8,70.9
158460,25.12,110,28.8,70.8
158520,25.12,120,28.8,70.8
158580,25.12,130,28.8,70.8
158640,25.12,140,28.8,70.8
158700,25.12,150,28.8,70.8
158760,25.12,160,28.8,70.8
158820,25.12,170.83,28.8,70.8
158880,25.12,181.67,28.8,70.8
158940,25.12,193.33,28.8,70.8
159000,25.12,206.67,28.8,70.8
159060,25.12,220.83,28.8,70.8
159120,25.12,235,28.8,70.8
159180,25.12,248.33,28.8,70.9
159240,25.12,262.5,28.8,70.9
159300,25.12,275.83,28.8,70.9
159360,25.12,289.17,28.8,70.9
159420,25.12,304.17,28.8,70.8
159480,25.12,320.83,28.8,70.8
159540,25.19,338.33,28.8,70.9
159600,25.19,354.17,28.8,70.9
159660,25.12,367.5,28.8,70.9
159720,25.12,379.17,28.8,71
159780,25.19,390,28.8,71
159840,25.19,400,28.8,71
159900,25.19,412.5,28.8,71
159960,25.19,431.67,28.8,70.9
160020,25.25,450.83,28.8,70.9
160080,25.19,455.83,28.9,70.9
160140,25.19,441.67,28.9,70.9
160200,25.25,406.67,28.9,70.8
160260,25.25,366.67,28.9,70.8
160320,25.25,331.67,28.9,70.8
160380,25.25,337.5,28.9,70.7
160440,25.25,363.33,28.9,70.6
160500,25.31,403.33,28.9,70.7
160560,25.31,398.33,28.9,70.8
160620,25.31,430,28.9,70.9
160680,25.31,462.5,28.9,70.8
160740,25.31,480,28.9,70.8
160800,25.37,525,29,70.7
160860,25.37,515.83,29,70.6
160920,25.44,510,29,70.6
160980,25.37,512.5,29,70.6
161040,25.44,505,29,70.6
161100,25.44,503.33,29,70.5
161160,25.44,495,29,70.5
161220,25.44,508.33,29,70.5
161280,25.44,554.17,29,70.4
161340,25.44,592.5,29,70.5
161400,25.44,604.17,29,70.4
161460,25.5,593.33,29.1,70.4
161520,25.5,545,29.1,70.5
161580,25.56,525,29.1,70.4
161640,25.56,583.33,29.1,70.3
161700,25.56,625,29.1,70.3
161760,25.56,688.33,29.1,70.3
161820,25.56,717.5,29.1,70.3
161880,25.56,746.67,29.1,70.3
161940,25.62,729.17,29.1,70.3
162000,25.62,713.33,29.2,70.3
162060,25.62,726.67,29.2,70.2
162120,25.62,732.5,29.2,70.2
162180,25.62,750.83,29.2,70.3
162240,25.69,777.5,29.2,70.3
162300,25.69,768.33,29.2,70.3
162360,25.69,783.33,29.2,70
162420,25.69,792.5,29.2,70.1
162480,25.69,773.33,29.2,70
162540,25.69,795,29.2,70
162600,25.69,884.17,29.2,70.1
162660,25.69,957.5,29.3,70.1
162720,25.75,997.5,29.3,70
162780,25.75,988.33,29.3,70
162840,25.75,949.17,29.3,70
162900,25.81,825.83,29.3,70.1
162960,25.81,825.83,29.3,70
163020,25.81,785.83,29.3,69.9
163080,25.81,825,29.3,69.9
163140,25.81,845.83,29.3,69.8
163200,25.81,838.33,29.3,69.8
163260,25.81,830,29.4,69.8
163320,25.81,807.5,29.4,69.8
163380,25.81,790.83,29.4,69.6
163440,25.81,797.5,29.3,69.5
163500,25.75,823.33,29.4,69.6
163560,25.75,855.83,29.4,69.6
163620,25.81,892.5,29.4,69.7
163680,25.81,937.5,29.4,69.7
163740,25.81,1005,29.4,69.6
163800,25.81,1088.33,29.4,69.6
163860,25.81,1171.67,29.4,69.5
163920,25.87,1248.33,29.4,69.5
163980,25.87,1301.67,29.4,69.6
164040,25.81,1338.33,29.4,69.5
164100,25.87,1369.17,29.4,69.5
164160,25.87,1414.17,29.4,69.4
164220,25.94,1483.33,29.4,69.3
164280,26,1588.33,29.5,69.2
164340,26,1720.83,29.5,69.1
164400,26.06,1854.17,29.5,69.1
164460,26.06,1980.83,29.5,69.1
164520,26.12,2082.5,29.6,69
164580,26.19,2136.67,29.7,68.8
164640,26.31,2117.5,29.7,68.7
164700,26.37,2062.5,29.7,68.5
164760,26.44,2014.17,29.8,68.4
164820,26.44,1939.17,29.8,68.2
164880,26.44,1929.17,29.8,68.2
164940,26.44,1965.83,29.8,68
165000,26.5,1925.83,29.8,67.9
165060,26.5,1721.67,29.9,68.1
165120,26.56,1340.83,29.9,68
165180,26.56,1073.33,29.9,68
165240,26.44,1003.33,29.8,67.9
165300,26.37,1038.33,29.8,68.2
165360,26.25,1070.83,29.8,68.4
165420,26.25,1139.17,29.8,68.6
165480,26.25,1252.5,29.8,68.6
165540,26.25,1302.5,29.8,68.7
165600,26.19,1306.67,29.8,68.7
165660,26.25,1328.33,29.7,68.7
165720,26.25,1352.5,29.8,68.7
165780,26.31,1370,29.8,68.7
165840,26.25,1381.67,29.8,68.7
165900,26.31,1390.83,29.8,68.6
165960,26.31,1392.5,29.8,68.6
166020,26.31,1377.5,29.8,68.6
166080,26.31,1340,29.8,68.6
166140,26.37,1299.17,29.8,68.6
166200,26.37,1278.33,29.8,68.6
166260,26.31,1257.5,29.8,68.6
166320,26.31,1225.83,29.8,68.6
166380,26.31,1170.83,29.8,68.6
166440,26.25,1135.83,29.8,68.5
166500,26.25,1107.5,29.8,68.6
166560,26.25,1077.5,29.8,68.6
166620,26.31,1035.83,29.8,68.7
166680,26.25,975.83,29.8,68.7
166740,26.25,945.83,29.7,68.7
166800,26.25,880.83,29.7,68.8
166860,26.19,884.17,29.7,68.7
166920,26.19,919.17,29.7,68.8
166980,26.19,935,29.7,68.8
167040,26.19,970,29.7,68.8
167100,26.12,1013.33,29.7,68.9
167160,26.12,1095,29.7,68.9
167220,26.12,1240,29.7,68.7
167280,26.12,1440.83,29.7,68.6
167340,26.19,1581.67,29.7,68.7
167400,26.25,1645.83,29.7,68.7
167460,26.25,1653.33,29.7,68.6
167520,26.25,1654.17,29.7,68.7
167580,26.25,1665.83,29.8,68.7
167640,26.31,1626.67,29.8,68.5
167700,26.31,1545,29.8,68.7
167760,26.31,1429.17,29.8,68.6
167820,26.31,1293.33,29.8,68.6
167880,26.31,1176.67,29.8,68.6
167940,26.31,1129.17,29.8,68.6
168000,26.31,1130.83,29.8,68.6
168060,26.31,1132.5,29.8,68.5
168120,26.31,1147.5,29.8,68.5
168180,26.31,1167.5,29.8,68.5
168240,26.31,1162.5,29.8,68.6
168300,26.25,1159.17,29.8,68.6
168360,26.31,1152.5,29.8,68.5
168420,26.31,1140.83,29.8,68.5
168480,26.25,1128.33,29.8,68.6
168540,26.25,1116.67,29.8,68.7
168600,26.25,1105.83,29.8,68.6
168660,26.25,1104.17,29.8,68.7
168720,26.25,1125.83,29.8,68.7
168780,26.25,1175,29.8,68.7
168840,26.25,1238.33,29.8,68.7
168900,26.25,1289.17,29.8,68.8
168960,26.25,1326.67,29.8,68.8
169020,26.31,1408.33,29.8,68.8
169080,26.31,1486.67,29.8,68.7
169140,26.31,1499.17,29.8,68.7
169200,26.31,1409.17,29.8,68.6
169260,26.31,1255,29.8,68.6
169320,26.31,1165.83,29.8,68.6
169380,26.31,1091.67,29.8,68.6
169440,26.37,1072.5,29.8,68.6
169500,26.31,1035.83,29.8,68.8
169560,26.31,1007.5,29.8,68.6
169620,26.25,1008.33,29.8,68.6
169680,26.25,1014.17,29.8,68.6
169740,26.25,1046.67,29.8,68.6
169800,26.25,1035,29.8,68.6
169860,26.25,1035,29.8,68.9
169920,26.19,1023.33,29.7,68.9
169980,26.12,1020,29.7,69.1
170040,26.19,1040.83,29.7,68.8
170100,26.12,1063.33,29.7,69
170160,26.12,1084.17,29.7,69.2
170220,26.12,1093.33,29.7,69.2
170280,26.19,1092.5,29.7,69.2
170340,26.19,1091.67,29.7,69
170400,26.19,1084.17,29.7,69.1
170460,26.19,1092.5,29.7,69.1
170520,26.19,1117.5,29.7,69.1
170580,26.25,1159.17,29.8,69.1
170640,26.25,1197.5,29.8,69
170700,26.25,1216.67,29.8,69
170760,26.25,1245,29.8,69
170820,26.31,1242.5,29.8,68.9
170880,26.31,1245.83,29.9,68.9
170940,26.31,1252.5,29.9,68.8
171000,26.31,1292.5,29.9,68.8
171060,26.31,1327.5,29.9,68.8
171120,26.37,1395,30,68.7
171180,26.37,1404.17,30,68.7
171240,26.44,1355,30,68.6
171300,26.44,1350,30,68.6
171360,26.5,1405,30,68.6
171420,26.5,1540,30.1,68.5
171480,26.5,1699.17,30.1,68.4
171540,26.56,1898.33,30.1,68.5
171600,26.56,2243.33,30.1,68.4
171660,26.69,2623.33,30.2,68.3
171720,26.81,2723.33,30.2,68.1
171780,26.87,2804.17,30.2,67.9
171840,26.94,2939.17,30.3,67.8
171900,27,2955.83,30.3,67.9
171960,27.06,2702.5,30.4,67.7
172020,27.12,2529.17,30.4,67.6
172080,27.12,2574.17,30.5,67.4
172140,27.12,2746.67,30.5,67.5
172200,27.12,2724.17,30.5,67.5
172260,27.19,2650.83,30.5,67.6
172320,27.25,2613.33,30.5,67.7
172380,27.31,2700.83,30.6,67.8
172440,27.31,2920,30.6,67.9
172500,27.37,3010.83,30.6,67.9
172560,27.37,3304.17,30.7,67.7
172620,27.44,3455,30.7,67.7
172680,27.56,3447.5,30.8,67.4
172740,27.56,3365,30.8,67.3
172800,27.62,3244.17,30.8,67.3
172860,27.62,3174.17,30.8,67.4
172920,27.62,3250,30.9,67.3
172980,27.62,3375,30.9,67.3
173040,27.62,3238.33,30.9,66.9
173100,27.62,2808.33,30.9,66.7
173160,27.69,2668.33,31,66.9
173220,27.62,2323.33,30.9,66.7
173280,27.56,2088.33,31,66.9
173340,27.5,1898.33,30.9,66.8
173400,27.44,1811.67,30.9,66.8
173460,27.37,1875,30.9,66.9
173520,27.25,1899.17,30.8,67
173580,27.19,2032.5,30.8,67.1
173640,27.19,2220,30.8,67.2
173700,27.25,2310,30.8,67.1
173760,27.25,2369.17,30.8,67.1
173820,27.31,2581.67,30.8,67.1
173880,27.31,2595,30.9,67.2
173940,27.37,2689.17,30.8,67.1
174000,27.44,2785.83,30.9,67.1
174060,27.44,2718.33,30.9,67
174120,27.44,2745,30.9,67
174180,27.5,2698.33,30.9,67
174240,27.5,3065.83,30.9,67
174300,27.5,3173.33,30.9,67
174360,27.56,3171.67,30.9,67
174420,27.56,2880.83,30.9,67
174480,27.56,2873.33,31,66.9
174540,27.56,2975,31,67
174600,27.62,3296.67,31,67.1
174660,27.69,3400,31,67
174720,27.62,3762.5,31,66.8
174780,27.69,3715,31.1,66.9
174840,27.75,4070.83,31.1,66.9
174900,27.87,4083.33,31.1,66.7
174960,27.94,4066.67,31.2,66.6
175020,27.94,4354.17,31.2,66.5
175080,28.06,4500,31.2,66.4
175140,28.06,4565,31.2,66.4
175200,28,4176.67,31.3,66.3
175260,28.06,4412.5,31.3,66.2
175320,28.06,4013.33,31.3,66.1
175380,28.19,4533.33,31.4,66
175440,28.19,4741.67,31.4,65.9
175500,28.25,4759.17,31.4,65.9
175560,28.37,4566.67,31.5,65.8
175620,28.44,4718.33,31.5,65.7
175680,28.5,4778.33,31.6,65.6
175740,28.44,4655,31.6,65.5
175800,28.56,4721.67,31.6,65.5
175860,28.62,4733.33,31.7,65.3
175920,28.62,4380,31.7,65
175980,28.56,4403.33,31.7,65
176040,28.5,4800.83,31.7,64.9
176100,28.5,4839.17,31.7,64.9
176160,28.56,5051.67,31.8,64.8
176220,28.62,5645.83,31.8,64.8
176280,28.69,5763.33,31.8,64.7
176340,28.81,5340,31.9,64.6
176400,28.87,5350.83,32,64.4
176460,28.94,4983.33,32,64.3
176520,28.94,5508.33,32,64.2
176580,28.87,5180.83,32,64.2
176640,29,5527.5,32.1,64.2
176700,29.06,5524.17,32.1,64
176760,29.19,6130.83,32.2,63.8
176820,29.25,5259.17,32.3,63.6
176880,29.31,6506.67,32.4,63.5
176940,29.31,7900.83,32.4,63.3
177000,29.5,7904.17,32.5,63
177060,29.75,5749.17,32.7,62.7
177120,29.81,5746.67,32.8,62.4
177180,29.94,5754.17,32.8,62.1
177240,29.87,5833.33,32.9,61.9
177300,29.94,6656.67,32.9,62
177360,30.06,5597.5,32.9,61.8
177420,29.94,5688.33,33,61.9
177480,29.94,5157.5,33,61.8
177540,29.94,5323.33,33,61.6
177600,29.94,3888.33,33,61.7
177660,30,3248.33,33,61.7
177720,29.87,3527.5,33,61.7
177780,29.81,5365,33,61.6
177840,29.81,5456.67,33,61.5
177900,29.87,4957.5,33,61.4
177960,29.81,4597.5,33,61.3
178020,29.81,4176.67,33,61.5
178080,29.75,5119.17,33,61.4
178140,29.62,5356.67,32.9,61.7
178200,29.62,4758.33,32.9,61.7
178260,29.62,3860.83,32.9,61.8
178320,29.56,3965.83,32.9,61.8
178380,29.44,3747.5,32.8,61.9
178440,29.31,4162.5,32.7,62.1
178500,29.31,5866.67,32.7,62
178560,29.25,5606.67,32.7,62
178620,29.37,6416.67,32.7,62.2
