,T_PV,I,T_mt,Do_am
94800,28.5,5775.83,32,65.3
94860,28.75,5778.33,32.1,65.1
94920,28.87,6099.17,32.2,64.9
94980,29.12,6506.67,32.3,64.5
95040,29.25,6945.83,32.5,64.2
95100,29.44,7099.17,32.6,63.9
95160,29.69,6755,32.7,63.7
95220,29.75,5954.17,32.9,63.2
95280,29.94,4793.33,32.9,62.9
95340,29.94,3877.5,33,62.7
95400,30,2688.33,33,62.6
95460,29.94,2546.67,33,62.5
95520,29.87,2652.5,33,62.6
95580,29.75,2022.5,33,62.7
95640,29.62,1426.67,32.9,62.8
95700,29.44,1813.33,32.9,62.9
95760,29.31,1985,32.8,63
95820,29.12,1795.83,32.7,63.1
95880,29.06,1842.5,32.6,63.4
95940,29,2220.83,32.6,63.5
96000,28.87,3115,32.6,63.6
96060,28.87,2951.67,32.5,63.7
96120,28.94,2520.83,32.5,63.8
96180,28.94,2784.17,32.5,63.9
96240,28.94,2998.33,32.5,63.9
96300,29,3204.17,32.5,64.1
96360,29,3935.83,32.5,64.1
96420,29,4293.33,32.5,64
96480,29.06,4128.33,32.5,63.9
96540,29.06,4117.5,32.5,63.8
96600,29.12,3937.5,32.5,63.8
96660,29.19,3180.83,32.5,63.8
96720,29.19,2560.83,32.5,63.8
96780,29.19,2552.5,32.5,63.7
96840,29.12,2568.33,32.5,63.7
96900,29,2615.83,32.4,64
96960,28.87,3060,32.4,64.1
97020,29,3308.33,32.5,64.1
97080,29.06,3630,32.5,64.1
97140,29.12,3977.5,32.5,64.1
97200,29.12,4347.5,32.5,64
97260,29.19,4620.83,32.5,63.6
97320,29.19,4938.33,32.6,63.9
97380,29.31,4319.17,32.6,63.8
97440,29.44,4305,32.6,63.8
97500,29.44,4090.83,32.6,63.7
97560,29.37,3710.83,32.7,63.8
97620,29.5,3736.67,32.7,63.6
97680,29.56,3145.83,32.8,63.4
97740,29.62,2070.83,32.8,63.3
97800,29.56,1885,32.8,63.1
97860,29.37,2082.5,32.8,63.2
97920,29.37,2442.5,32.8,63.3
97980,29.31,2972.5,32.8,63.1
98040,29.25,2764.17,32.7,63.1
98100,29.12,1939.17,32.6,63.5
98160,29,1600,32.6,63.7
98220,28.94,1944.17,32.5,63.7
98280,28.87,2880.83,32.5,63.8
98340,28.87,4673.33,32.5,64.1
98400,29,5947.5,32.5,64.1
98460,29.06,4833.33,32.5,64.2
98520,29.25,4480.83,32.6,63.9
98580,29.31,2960.83,32.6,63.6
98640,29.31,2280.83,32.6,63.7
98700,29.25,1669.17,32.6,63.8
98760,29.06,1367.5,32.5,64
98820,28.94,1508.33,32.5,63.9
98880,28.87,1925,32.4,64.1
98940,28.87,3055,32.4,64.1
99000,28.87,4390.83,32.4,64.1
99060,28.94,4664.17,32.4,64.1
99120,29.06,3959.17,32.5,64
99180,29.06,3740,32.5,63.8
99240,29.12,3903.33,32.5,63.8
99300,29.12,3685,32.5,63.6
99360,29.12,3465,32.5,63.5
99420,29.06,3715,32.5,63.6
99480,29.12,4382.5,32.5,63.5
99540,29.06,5267.5,32.6,63.4
99600,29.25,5995,32.6,63.3
99660,29.37,6188.33,32.7,62.9
99720,29.56,5748.33,32.8,62.8
99780,29.69,5279.17,32.9,62.5
99840,29.75,5775,33,62.3
99900,29.94,6055,33.1,62
99960,29.94,5985,33.2,61.6
100020,30.06,6092.5,33.2,61.8
100080,30.19,5970.83,33.3,61.5
100140,30.25,5760,33.4,61.2
100200,30.37,6193.33,33.5,60.9
100260,30.56,6238.33,33.6,60.7
100320,30.69,5370,33.7,60.6
100380,30.75,5032.5,33.7,60.3
100440,30.75,4350,33.7,60.2
100500,30.81,4326.67,33.7,60.3
100560,30.69,4127.5,33.8,60.3
100620,30.62,4540.83,33.7,60.2
100680,30.62,5006.67,33.8,60.1
100740,30.56,5763.33,33.8,59.8
100800,30.56,6239.17,33.7,59.6
100860,30.37,7035.83,33.7,59.7
100920,30.56,7519.17,33.8,59.6
100980,30.75,6973.33,33.9,59.4
101040,30.87,6426.67,34,59
101100,30.87,6026.67,34,58.7
101160,30.87,5424.17,34,58.5
101220,31,4410.83,34.1,58.3
101280,30.87,3975.83,34.1,58.7
101340,30.81,4510.83,34.1,58.6
101400,30.75,5630,34,58.1
101460,30.75,6768.33,34,58.4
101520,30.75,7146.67,34.1,58.1
